Form,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y
icomplete,2.643031913772735,2.2220225048990248,1.9973735403596538,2.221209069671124,2.678264254305577,2.9454466816990874,1.9672332872644962,2.9478576513083943,2.7724361860942253,3.5101532970825757,1.9184159233483198,3.5108416979739747
icomplete,2.64024106215517,2.2296111879347578,1.9966326474745808,2.2305289617710917,2.6741790397249994,2.9478354415627064,1.9653645315335402,2.9526971932196107,2.7725130087602197,3.5104943238950055,1.9139485453633003,3.515995269992857
icomplete,2.6380545421686223,2.2303929113576273,1.994711698525596,2.2329022175684354,2.6705750367954106,2.946008328483314,1.9629235000108103,2.9517050086751113,2.7702302185975562,3.5080348484091513,1.9060566148801323,3.515200106109917
icomplete,2.640745989463979,2.2352537960838004,1.996472633761737,2.237918186866415,2.672946199866005,2.951504335870201,1.9648044461740883,2.956921217676396,2.774505819716494,3.513593567111376,1.90613524541463,3.522545007776006
icomplete,2.6406690751853947,2.2382371711010487,1.996936622785293,2.241332751763789,2.671093477364542,2.953146015167946,1.9639220874379344,2.9590470861424465,2.7757915633207233,3.5159518168822137,1.9046773372475199,3.5259104446341833
icomplete,2.6477704522163545,2.243259945112978,2.002837706602151,2.2473492061953566,2.6774888478817247,2.961062336472679,1.9674010667108675,2.9676145926109,2.7831143400843303,3.5260035866766337,1.9083529661170355,3.5358684374542046
icomplete,2.6534250586958383,2.247861783035417,2.0074370321769237,2.2524808741090414,2.6829570323216143,2.967640763947265,1.9706524034213062,2.9755195300506934,2.7876601559884397,3.5338316705859456,1.9118631768693113,3.5433034441470066
icomplete,2.6564508417768375,2.250559910835747,2.0099177016910534,2.2563184968925736,2.6852371721267834,2.9711552167624187,1.9729821743395215,2.9790957984528967,2.7903494457444813,3.5378907047201498,1.913942463050855,3.547154429738714
icomplete,2.662804423788197,2.2560980438086777,2.014819248115389,2.263403116548776,2.6914466133978436,2.9776835745845944,1.9775166113301264,2.985400796198135,2.7969363045035953,3.545276998539783,1.9164350265967913,3.555100119700668
icomplete,2.6605400096964087,2.2545769617056295,2.0129470337349287,2.261297348852148,2.689729500370768,2.9749080427752705,1.9761530003107566,2.9818861769403635,2.792382063519915,3.5421138326537176,1.9157621842345556,3.5511614138954837
icomplete,2.6573250777823794,2.2527148426102124,2.0103410794904644,2.2591736390700135,2.686500010984512,2.9742828010875573,1.9738955877407036,2.979038863070753,2.78891979109585,3.5392502726214623,1.9138574800489565,3.54680739452235
icomplete,2.655537876212288,2.2515278909259506,2.009124051081665,2.2582461999180885,2.6850165132258446,2.97243300897527,1.97133225427665,2.9772843959480952,2.7874770717721224,3.5366395899144756,1.9122278294473691,3.5450922991508746
icomplete,2.5989121118497254,2.218255172010938,1.9645333238032627,2.2243578192976656,2.627359884392316,2.913519956680964,1.9287343354022202,2.9276683422338614,2.727471310941843,3.4661164507601603,1.8726711225862198,3.472336699537627
icomplete,2.5928918950549926,2.217257560809098,1.9597713737654394,2.220906804410708,2.6195279288147617,2.9137609711679047,1.9267304708158592,2.9232706798797055,2.720127305725147,3.462476596677892,1.8694375423008545,3.468055058234494
icomplete,2.558118120593353,2.1843092875290235,1.9314536800635387,2.1879496712602298,2.5904817775979962,2.870366696239167,1.9044882425299459,2.880789550250842,2.6799622662367675,3.417988953217294,1.845916526598816,3.4222669697211856
icomplete,2.5778059237459603,2.198158416796267,1.9447305811959714,2.201897583160154,2.6130323172196395,2.891074445298672,1.920932048767286,2.8996910930716076,2.697612818558919,3.4438248463415477,1.8620018204571152,3.444315552046549
icomplete,2.5800315387709674,2.1928505063811325,1.9456922254698092,2.192249039569147,2.6142925104597428,2.888988000148483,1.925512326497373,2.8930045374692512,2.7000335418119157,3.444068958334708,1.8656721420095193,3.443880644089256
icomplete,2.595048928341023,2.1989988161370664,1.9575142600053919,2.1977030760164724,2.628552488223037,2.899885348539889,1.9344057560730898,2.900270376427257,2.710974384862272,3.460595243590989,1.874257206931248,3.456812156405117
icomplete,2.57427282962155,2.1956844346270152,1.9407384696054775,2.195226415753073,2.608853116396908,2.8824592734172856,1.9169940469742583,2.8923582305166287,2.686411716156499,3.433260000868732,1.8582609351016286,3.4288473193336624
icomplete,2.580698156812184,2.2007495725097597,1.9455988638894166,2.201205657034805,2.618055009050836,2.892525707302974,1.9199767411998647,2.906618511501139,2.6905249714489337,3.4521645351983254,1.861137684954386,3.453934336939518
icomplete,2.616599045459844,2.21522531220038,1.970047704915923,2.2162014735281845,2.6479290296863507,2.91546218084609,1.9469939074352298,2.928532484861152,2.7232841127919984,3.489478769613525,1.882986072591411,3.480956451956103
icomplete,2.5951793086065544,2.1957564569322727,1.9532395990291789,2.197060035392389,2.6311826146542603,2.890264480971304,1.933597349539674,2.90323532155336,2.711360566140963,3.4627449039686633,1.8724732823651205,3.4445871089414255
icomplete,2.5868969471244654,2.1853986905744445,1.947131257548192,2.183952161224776,2.6248279163140626,2.880692540033037,1.9271836977045707,2.880964986714969,2.704993906218533,3.4501438456090208,1.866418445941362,3.4293257786724736
icomplete,2.579413810757459,2.178606709388878,1.9414121693556783,2.178355967219208,2.6185938539223192,2.8725728770557284,1.9210693719933285,2.873583535527127,2.6963697906409894,3.439021409177477,1.863278794593387,3.4184542346490585
icomplete,2.575844419309823,2.176936896274337,1.9384906750684556,2.1786717144721415,2.6134795792624796,2.870450979966888,1.9171548901341233,2.877062106835478,2.6927243543742585,3.4402678833568157,1.8588402370923918,3.4207344357938507
icomplete,2.56555761779126,2.1679281480221895,1.929899513351611,2.1703327501723697,2.6006875907727154,2.859068141465968,1.9076459069271876,2.8684350260657134,2.6790224654430324,3.426462686542006,1.8493235407571005,3.404372720597091
icomplete,2.5665900302850098,2.1739638092457962,1.9294576575070983,2.1756529577406876,2.6007462475115517,2.86483044763596,1.9056278588937623,2.871029622612212,2.674663930534619,3.4242385595245737,1.849159897152842,3.4030836092858903
icomplete,2.563546057027495,2.1733361329909635,1.9269601138822496,2.1749616859263563,2.5978282710119465,2.8595984409182056,1.9017424953247646,2.864653873840804,2.6676276678580852,3.41471586363644,1.8469054723987934,3.395751668506419
icomplete,2.5593504709668884,2.16853301038539,1.9246077782122974,2.17071672410684,2.597264191361379,2.853687131253491,1.8995198313820236,2.859261537091297,2.663652887436238,3.4080410740173965,1.8467333856422956,3.388398097617021
icomplete,2.5751589687340806,2.180243602729533,1.9363825590877823,2.1812104460667316,2.6146777686237814,2.8713431382463073,1.9074741890437568,2.8769287677716022,2.6799608546750333,3.429177886545299,1.8536624357023952,3.4121602424237976
icomplete,2.5863772433073136,2.190106035890197,1.9452823447601708,2.1911463132641664,2.6281551118042144,2.8843162490936556,1.914078823766289,2.8896604083756707,2.689704696423217,3.4448314131173667,1.8563060563291403,3.427500131483387
icomplete,2.5900027232062075,2.1952282824454468,1.948046719067175,2.1957506045704527,2.631599232126432,2.8890055635610294,1.912328428560871,2.894147202023225,2.693241758252322,3.449704286917157,1.8597865036248395,3.432862797668536
icomplete,2.6056443444997703,2.2097065513597522,1.960076059322213,2.2109245846509125,2.647808140891795,2.906947418350046,1.91714833190755,2.9135701807105585,2.7049946242608383,3.4711005286708514,1.8712091021692017,3.4555341903474037
icomplete,2.615438611988034,2.221329065838267,1.9683245367953324,2.2223761982484387,2.6617652947407047,2.919107010937777,1.9183628305081355,2.9269166708874335,2.708759408049095,3.475585155908156,1.877765436110335,3.4712065669418606
icomplete,2.624724041576142,2.2326253406244416,1.9773000210581484,2.233751752035291,2.6754569635479717,2.9340347157647346,1.919264836171202,2.9413327892002674,2.721174799158974,3.4916399248815546,1.8854572720698874,3.489022617336037
icomplete,2.6303771177688637,2.2407571950513807,1.9825312028936388,2.242158034304143,2.684103555084634,2.942549220804565,1.9183435126682746,2.951277882551151,2.729367236534581,3.5024335263627635,1.8887308720346454,3.500165060598114
icomplete,2.62740163764688,2.240533171003835,1.9795873208593187,2.241747099833732,2.681599157957627,2.939389325016837,1.9076581536195374,2.952908122430009,2.7233827758376994,3.491947949609815,1.8822275133528663,3.496777351240943
icomplete,2.630560047885271,2.240634928565006,1.9827820867536963,2.241065368453232,2.686250556915806,2.9436485625716085,1.9048730278184514,2.957215971765131,2.7270133545392774,3.495197129916114,1.8785299664505641,3.4982761070970425
